player_id,name_first,name_last,hand,dob,ioc,height,age,rank,rank_points,elo,elo_hard,elo_grass,elo_carpet,elo_clay
100001,Gardnar,Mulloy,R,1913-11-22,USA,185,111,,,,,,,
100002,Pancho,Segura,R,1921-06-20,ECU,168,103,,,,,,,
100003,Frank,Sedgman,R,1927-10-02,AUS,180,97,,,,,,,
100004,Giuseppe,Merlo,R,1927-10-11,ITA,183,97,,,,,,,
100005,Richard,Gonzalez,R,1928-05-09,USA,188,96,,,,,,,
100006,Grant,Golden,R,1929-08-21,USA,175,95,,,,,,,
100007,Abe,Segal,L,1930-10-23,RSA,183,94,,,,,,,
100008,Kurt,Nielsen,R,1930-11-19,DEN,183,94,,,,,,,
100009,Istvan,Gulyas,R,1931-10-14,HUN,183,93,,,,,,,
100010,Luis,Ayala,R,1932-09-18,CHI,170,92,,,,,,,
100011,Torben,Ulrich,L,1928-10-04,DEN,180,96,,,,,,,
100012,Nicola,Pietrangeli,R,1933-09-11,ITA,178,91,,,,,,,
100013,Neale,Fraser,L,1933-10-03,AUS,185,91,,,,,,,
100014,Trevor,Fancutt,R,1934-07-14,RSA,183,90,,,,,,,
100015,Sammy,Giammalva,R,1934-08-01,USA,180,90,,,,,,,
100016,Ken,Rosewall,R,1934-11-02,AUS,175,90,,,,,,,
100017,Mal,Anderson,R,1935-03-03,AUS,183,90,,,,,,,
100018,Barry,Mackay,R,1935-08-31,USA,190,89,,,,,,,
100019,Wieslaw,Gasiorek,R,1936-01-13,POL,183,89,,,,,,,
100020,Alejandro,Olmedo,R,1936-03-24,PER,178,89,,,,,,,
100021,Ashley,Cooper,R,1936-09-15,AUS,178,88,,,,,,,
100022,Roy,Emerson,R,1936-11-03,AUS,183,88,,,,,,,
100023,Ramanathan,Krishnan,R,1937-04-11,IND,183,88,,,,,,,
100024,Jan Erik,Lundquist,R,1937-04-14,SWE,191,88,,,,,,,
100025,Barry,Phillips Moore,R,1937-07-09,AUS,173,87,,,,,,,
100026,Andres,Gimeno,R,1937-08-03,ESP,185,87,,,,,,,
100027,Gene,Scott,R,1937-12-28,USA,185,87,,,,,,,
100028,Manuel,Santana,R,1938-05-10,ESP,170,86,,,,,,,
100029,Rod,Laver,L,1938-08-09,AUS,173,86,,,,,,,
100030,Fred,Stolle,R,1938-10-08,AUS,190,86,,,,,,,
100031,Dimitri,Sturdza,R,1938-11-10,SUI,183,86,,,,,,,
100032,Patricio,Rodriguez Chi,R,1938-12-20,CHI,188,86,,,,,,,
100033,Wilhelm,Bungert,R,1939-04-01,GER,188,86,,,,,,,
100034,Christian,Kuhnke,L,1939-04-13,GER,183,86,,,,,,,
100035,Ion,Tiriac,R,1939-05-09,ROU,185,85,,,,,,,
100036,Rudy,Hernando,R,1939-06-10,USA,183,85,,,,,,,
100037,Nikola,Pilic,L,1939-08-27,CRO,191,85,,,,,,,
100038,Jaime,Pinto Bravo,R,1939-10-09,CHI,178,85,,,,,,,
100039,Boro,Jovanovic,R,1939-10-21,CRO,183,85,,,,,,,
100040,Bob,Hewitt,R,1940-01-12,RSA,190,85,,,,,,,
100041,Ned,Neely,R,1940-01-14,USA,183,85,,,,,,,
100042,Ryoichi,Mori,R,1940-01-14,JPN,183,85,,,,,,,
100043,Zdenek,Slizek,R,1940-02-19,CZE,183,85,,,,,,,
100044,Sergei,Likhachev,R,1940-03-20,RUS,183,85,,,,,,,
100045,John,Paish,L,1940-03-23,GBR,183,85,,,,,,,
100046,Larry,Nagler,R,1940-07-01,USA,183,84,,,,,,,
100047,Bob,Carmichael,R,1940-07-04,AUS,183,84,,,,,,,
100048,Earl Butch,Buchholz,R,1940-09-16,USA,188,84,,,,,,,
100049,Jim,Mcmanus,L,1940-09-16,USA,175,84,,,,,,,
100050,Martin,Mulligan,R,1940-10-18,AUS,183,84,,,,,,,
100051,Premjit,Lall,R,1940-10-20,IND,183,84,,,,,,,
100052,Keishiro,Yanagi,R,1941-02-24,JPN,183,84,,,,,,,
100053,Colin,Stubs,R,1941-02-27,AUS,183,84,,,,,,,
100054,Jose Edison,Mandarino,R,1941-03-26,BRA,173,84,,,,,,,
